company name,ric,ric1(ticker),isin,cusip,gvkey
Direct Line Insurance Group PLC,DLGD.L,DLGD,GB00BY9D0Y18,0.0,268159
Blackrock Sustainable American Income Trust PLC,BRSA.L,BRSA,GB00B7W0XJ61,0.0,315565
Syncona Ltd,SYNCS.L,SYNCS,GG00B8P59C08,0.0,314440
Bluejay Mining PLC,JAY.L,JAY,GB00BFD3VF20,0.0,316769
Premier African Minerals Ltd,PREM.L,PREM,VGG7223M1005,0.0,315902
IG Seismic Services PLC,IGSSq.L,IGSSq,US4495972022,0.0,314384
hVIVO PLC,HVO.L,HVO,GB00B9275X97,0.0,332787
SysGroup PLC,SYS.L,SYS,GB00BYT18182,0.0,315250
Crest Nicholson Holdings PLC,CRST.L,CRST,GB00B8VZXT93,0.0,314943
t42 IoT Tracking Solutions PLC,TRAC.L,TRAC,JE00BKVDPL34,0.0,315008
Target Healthcare REIT PLC,THRLT.L,THRLT,GB00BJGTLF51,0.0,315043
Dekel Agri-Vision Plc,DKLD.L,DKLD,CY0106502111,0.0,315082
Greencoat UK Wind PLC,UKWG.L,UKWG,GB00B8SC6K54,0.0,315119
Cambridge Cognition Holdings PLC,COGC.L,COGC,GB00B8DV9647,0.0,315189
One Media IP Group PLC,OMIP.L,OMIP,GB00B1DRDZ07,0.0,314736
Redcentric PLC,RCN.L,RCN,GB00B7TW1V39,0.0,315135
Versarien PLC,VRS.L,VRS,GB00B8YZTJ80,0.0,315500
Seplat Energy PLC,SEPL.L,SEPL,NGSEPLAT0008,0.0,317429
Coca Cola HBC AG,CCH.L,CCH,CH0198251305,0.0,221261
Nexteq PLC,NXQ.L,NXQ,GB00B99PCP71,0.0,315374
International Distributions Services PLC,IDSI.L,IDSI,GB00BDVZYZ77,0.0,316264
Falanx Cyber Security Ltd,FCS.L,FCS,VGG3338A1158,0.0,317203
Ab Dynamics PLC,ABDP.L,ABDP,GB00B9GQVG73,0.0,315377
Bluefield Solar Income Fund Ltd,BSIF.L,BSIF,GG00BB0RDB98,0.0,316170
Polar Capital Global Financials Trust PLC,PCFT.L,PCFT,GB00B9XQT119,0.0,316178
Myanmar Investments International Ltd,MILM.L,MILM,VGG636111004,0.0,320130
Doric Nimrod Air Three Ltd,DNA3.L,DNA3,GG00B92LHN58,0.0,315630
Globalworth Real Estate Investments Ltd,GWI.L,GWI,GG00B979FD04,0.0,315862
Keywords Studios PLC,KWS.L,KWS,GB00BBQ38507,0.0,315716
Frontier Developments PLC,FDEV.L,FDEV,GB00BBT32N39,0.0,315732
Science in Sport PLC,SISS.L,SISS,GB00BBPV5329,0.0,315888
Renewables Infrastructure Group Ltd,TRIG.L,TRIG,GG00BBHX2H91,0.0,315863
Myhealthchecked PLC,MHCM.L,MHCM,GB00BN7K5L93,0.0,314671
Plus500 Ltd,PLUSP.L,PLUSP,IL0011284465,0.0,315848
Gulf Marine Services PLC,GMS.L,GMS,GB00BJVWTM27,0.0,317335
Trafalgar Property Group PLC,TRAF.L,TRAF,GB00BMGS6031,0.0,315905
Union Jack Oil PLC,UJO.L,UJO,GB00BLH1S316,0.0,318175
B90 Holdings PLC,B90.L,B90,IM00BYT32K14,0.0,315868
CentralNic Group Plc,CNIC.L,CNIC,GB00BCCW4X83,0.0,316001
Bluerock Diamonds PLC,BRD.L,BRD,GB00BKKJK954,0.0,317430
Netscientific PLC,NSCI.L,NSCI,GB00BN4R5Q82,0.0,316109
Foxtons Group PLC,FOXT.L,FOXT,GB00BCKFY513,0.0,316210
Iog PLC,IOG.L,IOG,GB00BF49WF64,0.0,316222
DP Aircraft I Ltd,DPAD.L,DPAD,GG00BBP6HP33,0.0,318299
Riverstone Energy Ltd,RSER.L,RSER,GG00BBHXCL35,0.0,316509
Kromek Group PLC,KMK.L,KMK,GB00BD7V5D43,0.0,316282
TCS Group Holding PLC,TCSq.L,TCSq,US87238U2033,0.0,316377
Everyman Media Group PLC,EMANE.L,EMANE,GB00BFH55S51,0.0,316512
Foresight Solar Fund Ltd,FSFL.L,FSFL,JE00BD3QJR55,0.0,316576
Brave Bison Group PLC,BBSN.L,BBSN,GB00BF8HJ774,0.0,316579
Just Group PLC,JUSTJ.L,JUSTJ,GB00BCRX1J15,0.0,316604
Brighton Pier Group PLC,PIER.L,PIER,GB00BG49KW66,0.0,316746
Tritax Big Box Reit PLC,BBOXT.L,BBOXT,GB00BG49KP99,0.0,316816
Safestyle UK PLC,SFES.L,SFES,JE00BGP63272,0.0,316900
Nationwide Building Society,NBS.L,NBS,GB00BBQ33664,0.0,30515
Property Franchise Group PLC,TPFG.L,TPFG,GB00BH0WFH67,0.0,316913
Benchmark Holdings PLC,BMKB.L,BMKB,GB00BGHPT808,0.0,316912
Kodal Minerals PLC,KOD.L,KOD,GB00BH3X7Y70,0.0,316976
Venture Life Group PLC,VLG.L,VLG,GB00BFPM8908,0.0,317372
Actual Experience PLC,ACTA.L,ACTA,GB00BJ05QC14,0.0,317164
NextEnergy Solar Fund Ltd,NESF.L,NESF,GG00BJ0JVY01,0.0,318065
Saga PLC,SAGA.L,SAGA,GB00BMX64W89,0.0,317629
Niox Group PLC,NIOX.L,NIOX,GB00BJVD3B28,0.0,317326
Pets at Home Group PLC,PETSP.L,PETSP,GB00BJ62K685,0.0,317305
SIMEC Atlantis Energy Ltd,SAE.L,SAE,SG9999011118,0.0,317235
DX (Group) PLC,DXDX.L,DXDX,GB00BJTCG679,0.0,317227
JLEN Environmental Assets Group Ltd,JLEN.L,JLEN,GG00BJL5FH87,0.0,317844
McColl's Retail Group PLC,MCLSM.L,MCLSM,GB00BJ3VW957,0.0,317228
AO World plc,AO.L,AO,GB00BJTNFH41,0.0,317220
Xeros Technology Group PLC,XSG.L,XSG,GB00BMGYBJ57,0.0,317354
Scholium Group PLC,SCHOS.L,SCHOS,GB00BJYS2173,0.0,317368
GRIT Investment Trust PLC,GRIT.L,GRIT,GB00BL594W83,0.0,341775
Mosman Oil and Gas Ltd,MSMN.L,MSMN,AU0000XINET1,0.0,317432
XLMedia PLC,XLM.L,XLM,JE00BH6XDL31,0.0,317345
boohoo group plc,BOOH.L,BOOH,JE00BG6L7297,0.0,317272
Tekcapital PLC,TEKT.L,TEKT,GB00BKXGY798,0.0,317903
Genuit Group PLC,GENG.L,GENG,GB00BKRC5K31,0.0,101249
Haydale Graphene Industries PLC,HAYD.L,HAYD,GB00BKWQ1135,0.0,317448
Custodian Property Income REIT plc,CREI.L,CREI,GB00BJFLFT45,0.0,317631
Eagle Eye Solutions Group PLC,EYE.L,EYE,GB00BKF1YD83,0.0,317471
Safestay PLC,SSTY.L,SSTY,GB00BKT0J702,0.0,317906
NAHL Group PLC,NAH.L,NAH,GB00BM7S2W63,0.0,317642
Rosslyn Data Technologies PLC,RDTR.L,RDTR,GB00BKX5CP01,0.0,317505
Bioventix PLC,BVXP.L,BVXP,GB00B4QVDF07,0.0,316402
Card Factory PLC,CARDC.L,CARDC,GB00BLY2F708,0.0,317574
Fireangel Safety Technology Group PLC,FA.L,FA,GB0030508757,0.0,256939
Limitless Earth PLC,LMEL.L,LMEL,GB00BKXP5L71,0.0,318066
Shoe Zone PLC,SHOE.L,SHOE,GB00BLTVCF91,0.0,317627
Tremor International Ltd,TRMR.L,TRMR,IL0011320343,0.0,317637
OSB Group PLC,OSBO.L,OSBO,GB00BLDRH360,0.0,317754
Flowtech Fluidpower PLC,FLOL.L,FLOL,GB00BM4NR742,0.0,317593
Empiric Student Property PLC,ESP.L,ESP,GB00BLWDVR75,0.0,317920
FDM Group (Holdings) PLC,FDM.L,FDM,GB00BLWDVP51,0.0,317843
B&M European Value Retail SA,BMEB.L,BMEB,LU1072616219,0.0,317781
Volution Group PLC,FAN.L,FAN,GB00BN3ZZ526,0.0,317820
Ergomed PLC,ERGO.L,ERGO,GB00BN7ZCY67,0.0,318043
On The Beach Group PLC,OTB.L,OTB,GB00BYM1K758,0.0,320382
SSP Group PLC,SSPG.L,SSPG,GB00BGBN7C04,0.0,318012
Nostrum Oil & Gas PLC,NOGN.L,NOGN,GB00BQVVS097,0.0,178988
Spire Healthcare Group PLC,SPI.L,SPI,GB00BNLPYF73,0.0,318072
Smoove PLC,SMV.L,SMV,GB00BNG8T458,0.0,318112
Blackstone Loan Financing Ltd,BGLF.L,BGLF,JE00BNCB5T53,0.0,318090
Epwin Group PLC,EPWN.L,EPWN,GB00BNGY4Y86,0.0,202045
Savannah Energy PLC,SAVES.L,SAVES,GB00BP41S218,0.0,318155
Equals Group PLC,EQLS.L,EQLS,GB00BLS0XX25,0.0,318172
Intelligent Ultrasound Group PLC,IUG.L,IUG,GB00BN791Q39,0.0,318317
Heiq PLC,HEIQ.L,HEIQ,GB00BN2CJ299,0.0,343192
Aquila Services Group PLC,AQSG.L,AQSG,GB00BPYP3Q26,0.0,320971
Softcat PLC,SCTS.L,SCTS,GB00BYZDVK82,0.0,320732
Gamma Communications PLC,GAMA.L,GAMA,GB00BQS10J50,0.0,318488
Fulham Shore PLC,FULH.L,FULH,GB00B9F8VG44,0.0,318551
C4X Discovery Holdings PLC,C4XD.L,C4XD,GB00BQQ2RV18,0.0,318565
Ediston Property Investment Company PLC,EPICE.L,EPICE,GB00BNGMZB68,0.0,318583
Nanosynth Group PLC,NNNN.L,NNNN,GB00BFX0ZN92,0.0,318695
Mortgage Advice Bureau (Holdings) PLC,MAB1.L,MAB1,GB00BQSBH502,0.0,318658
Quartix Technologies PLC,QTX.L,QTX,GB00BLZH2C83,0.0,318600
Fevertree Drinks PLC,FEVR.L,FEVR,GB00BRJ9BJ26,0.0,318634
Focusrite PLC,TUNE.L,TUNE,GB00BSBMW716,0.0,318824
Gfinity PLC,GFIN.L,GFIN,GB00BT9QD572,0.0,318932
Mercia Asset Management PLC,MERCM.L,MERCM,GB00BSL71W47,0.0,318850
Atlantic Lithium Ltd,ALLA.L,ALLA,AU0000237554,0.0,319228
Evgen Pharma PLC,EVG.L,EVG,GB00BSVYN304,0.0,319288
Indivior PLC,INDV.L,INDV,GB00BN4HT335,0.0,22410
Redx Pharma PLC,REDX.L,REDX,GB00BSNB6S51,0.0,319466
Integrated Diagnostics Holdings PLC,IDHC.L,IDHC,JE00BLKGSR75,0.0,287824
Vox Valor Capital Ltd,VOXV.L,VOXV,KYG9507A1094,0.0,340789
HSS Hire Group PLC,HSS.L,HSS,GB00BVFD4645,0.0,319193
SCS Group PLC,SCSS.L,SCSS,GB00BRF0TJ56,0.0,319163
Kinovo PLC,KINO.L,KINO,GB00BV9GHQ09,0.0,319323
VPC Specialty Lending Investments PLC,VSLV.L,VSLV,GB00BVG6X439,0.0,319922
Sureserve Group PLC,SURS.L,SURS,GB00BSKS1M86,0.0,319451
Eurocell PLC,ECEL.L,ECEL,GB00BVV2KN49,0.0,319322
Wizz Air Holdings PLC,WIZZ.L,WIZZ,JE00BN574F90,0.0,319296
Non-Standard Finance PLC,NSF.L,NSF,GB00BRJ6JV17,0.0,319272
DFS Furniture PLC,DFSD.L,DFSD,GB00BTC0LB89,0.0,201619
Schroders Capital Global Innovation Trust PLC,INOV.L,INOV,GB00BVG1CF25,0.0,319617
Revolution Bars Group PLC,RBG.L,RBG,GB00BVDPPV41,0.0,240008
Auto Trader Group PLC,AUTOA.L,AUTOA,GB00BVYVFW23,0.0,319417
Zegona Communications PLC,ZEG.L,ZEG,GB00BVGBY890,0.0,319360
Chill Brands Group PLC,CHLL.L,CHLL,GB00BWC4X262,0.0,325334
Windar Photonics PLC,WPHO.L,WPHO,GB00BTFR4F17,0.0,319488
Metro Bank Holdings PLC,MTRO.L,MTRO,GB00BMX3W479,0.0,321365
Curtis Banks Group PLC,CBP.L,CBP,GB00BW0D4R71,0.0,319661
Katoro Gold PLC,KATK.L,KATK,GB00BSNBL022,0.0,327532
KCR Residential REIT PLC,KCR.L,KCR,GB00BYWK1Q82,0.0,320141
AEW UK REIT PLC,AEWU.L,AEWU,GB00BWD24154,0.0,319741
Bigblu Broadband PLC,BBB.L,BBB,GB00BD5JMP10,0.0,319679
Gateley (Holdings) PLC,GTLY.L,GTLY,GB00BXB07J71,0.0,319823
Phoenix Spree Deutschland Ltd,PSDL.L,PSDL,JE00B248KJ21,0.0,320131
Gear4music (Holdings) PLC,G4M.L,G4M,GB00BW9PJQ87,0.0,319794
Apax Global Alpha Ltd,APAX.L,APAX,GG00BWWYMV85,0.0,320251
PureTech Health PLC,PRTC.L,PRTC,GB00BY2Z0H74,0.0,319917
Cairn Homes PLC,CRN.L,CRN,IE00BWY4ZF18,0.0,319837
Assura PLC,AGRP.L,AGRP,GB00BVGBWW93,0.0,270334
Orchard Funding Group PLC,ORCH.L,ORCH,GB00BYZFM569,0.0,320034
Kainos Group PLC,KNOS.L,KNOS,GB00BZ0D6727,0.0,320085
Everest Global PLC,EVST.L,EVST,GB00BKBS0353,0.0,334388
GYM Group PLC,GYM.L,GYM,GB00BZBX0P70,0.0,320701
Harvest Minerals Ltd,HMI.L,HMI,AU000XINEAB4,0.0,312715
Secured Income Fund PLC,SSIF.L,SSIF,GB00BYMK5S87,0.0,320380
Faron Pharmaceuticals Oy,FARN.L,FARN,FI4000153309,0.0,320728
Ibstock PLC,IBST.L,IBST,GB00BYXJC278,0.0,100035
GCP Asset Backed Income Fund Ltd,GABIG.L,GABIG,JE00BYXX8B08,0.0,320617
Upland Resources Ltd,UPL.L,UPL,JE00BJXN4P16,0.0,327108
Hostelworld Group PLC,HSW.L,HSW,GB00BYYN4225,0.0,320644
Regional REIT Ltd,RGLR.L,RGLR,GG00BYV2ZQ34,0.0,321038
Hemogenyx Pharmaceuticals PLC,HEMO.L,HEMO,GB00BYX3WZ24,0.0,325608
United Oil & Gas PLC,UOGU.L,UOGU,GB00BYX0MB92,0.0,326249
Sealand Capital Galaxy Ltd,SCGL.L,SCGL,KYG7948E1026,0.0,325071
Melrose Industries PLC,MRON.L,MRON,GB00BNGDN821,0.0,270654
Bluebird Merchant Ventures Ltd,BMV.L,BMV,VGG118701058,0.0,334129
Schroder European Real Estate Investment Trust PLC,SERE.L,SERE,GB00BY7R8K77,0.0,320857
Molten Ventures PLC,GROW.L,GROW,GB00BY7QYJ50,0.0,321779
Virgin Money UK PLC,VMUK.L,VMUK,GB00BD6GN030,0.0,321217
Angus Energy PLC,ANGSA.L,ANGSA,GB00BYWKC989,0.0,322860
Nuformix PLC,NFXN.L,NFXN,GB00BYW79Y38,0.0,325741
Ascential PLC,ASCL.L,ASCL,GB00BYM8GJ06,0.0,101052
daVictus plc,DVTD.L,DVTD,JE00BYY5RQ34,0.0,343636
CMC Markets PLC,CMCX.L,CMCX,GB00B14SKR37,0.0,321235
Shield Therapeutics PLC,STXS.L,STXS,GB00BYV81293,0.0,321328
Yu Group PLC,YU.L,YU,GB00BYQDPD80,0.0,321400
Cerillion PLC,CER.L,CER,GB00BYYX6C66,0.0,321411
Calculus VCT PLC,CLCCA.L,CLCCA,GB00BYQPF348,0.0,326335
Watkin Jones PLC,WJG.L,WJG,GB00BD6RF223,0.0,321419
Marlowe PLC,MRLM.L,MRLM,GB00BD8SLV43,0.0,289758
Hotel Chocolat Group PLC,HOTC.L,HOTC,GB00BYZC3B04,0.0,321624
Forterra PLC,FORT.L,FORT,GB00BYYW3C20,0.0,321546
Urban Logistics Reit PLC,SHED.L,SHED,GB00BYV8MN78,0.0,321520
Osirium Technologies PLC,OSIO.L,OSIO,GB00BZ58DH10,0.0,321515
Oncimmune Holdings PLC,ONCON.L,ONCON,GB00BYQ94H38,0.0,321642
Midwich Group PLC,MIDWM.L,MIDWM,GB00BYSXWW41,0.0,321615
Time Out Group PLC,TMOT.L,TMOT,GB00BYYV0629,0.0,321809
Toople PLC,TOOP.L,TOOP,GB00BZ8TP087,0.0,343788
Motorpoint Group PLC,MOTR.L,MOTR,GB00BD0SFR60,0.0,321656
Directa Plus PLC,DCTA.L,DCTA,GB00BSM98843,0.0,321716
Accrol Group Holdings PLC,ACRL.L,ACRL,GB00BZ6VT592,0.0,321790
Comptoir Group PLC,COM.L,COM,GB00BYT1L205,0.0,321815
XP Factory Plc,XPF.L,XPF,GB00BDB79J29,0.0,321916
Hollywood Bowl Group PLC,BOWL.L,BOWL,GB00BD0NVK62,0.0,322492
Caracal Gold PLC,GCAT.L,GCAT,GB00BYZC5R04,0.0,350222
Vietnam Enterprise Investments Limited,VEILV.L,VEILV,KYG9361H1092,0.0,322476
Iconic Labs PLC,ICONI.L,ICONI,GB00BD060S65,0.0,325225
Franchise Brands PLC,FRAN.L,FRAN,GB00BD6P7Y24,0.0,322083
TBC Bank Group PLC,TBCG.L,TBCG,GB00BYT18307,0.0,317766
Autins Group PLC,AUTGA.L,AUTGA,GB00BD37ZH08,0.0,322136
APQ Global Ltd,APQ.L,APQ,GG00BZ6VP173,0.0,322281
LoopUp Group PLC,LOOP.L,LOOP,GB00BYQP6S60,0.0,322159
Fragrant Prosperity Holdings Ltd,FPP.L,FPP,VGG368811037,0.0,322219
Ecofin Global Utilities and Infrastructure Trust PLC,EGL.L,EGL,GB00BD3V4641,0.0,322531
Premier Miton Group PLC,PMIP.L,PMIP,GB00BZB2KR63,0.0,322598
ConvaTec Group PLC,CTEC.L,CTEC,GB00BD3VFW73,0.0,322728
Mila Resources PLC,MILA.L,MILA,GB00BD4FCK53,0.0,341872
Boston International Holdings PLC,BIH.L,BIH,GB00BD70S874,0.0,325217
Luceco PLC,LUCEL.L,LUCEL,GB00BZC0LP49,0.0,322673
Van Elle Holdings PLC,VANL.L,VANL,GB00BYX4TP46,0.0,322704
Golden Rock Global PLC,GCG.L,GCG,JE00BYZT0R68,0.0,353454
Civitas Social Housing PLC,CSH.L,CSH,GB00BD8HBD32,0.0,322887
Oxford Biodynamics PLC,OBD.L,OBD,GB00BD5H8572,0.0,322952
Warpaint London PLC,W7L.L,W7L,GB00BYMF3676,0.0,322941
Creo Medical Group PLC,CREO.L,CREO,GB00BZ1BLL44,0.0,322970
RM Infrastructure Income PLC,RMII.L,RMII,GB00BYMTBG55,0.0,323085
S4 Capital PLC,SFOR.L,SFOR,GB00BFZZM640,0.0,325195
Grand Vision Media Holdings PLC,GVMH.L,GVMH,GB00BDHBGL97,0.0,328274
Stranger Holdings PLC,STHP.L,STHP,GB00BYWLRL80,0.0,324354
Develop North PLC,DVNO.L,DVNO,GB00BD0ND667,0.0,323606
Impact Healthcare REIT PLC,IHR.L,IHR,GB00BYXVMJ03,0.0,323661
Rainbow Rare Earths Ltd,RBWR.L,RBWR,GG00BD59ZW98,0.0,324314
Diversified Energy Company PLC,DEC.L,DEC,GB00BYX7JT74,0.0,322985
LXI REIT PLC,LXIL.L,LXIL,GB00BYQ46T41,0.0,323562
Ramsdens Holdings PLC,RFXR.L,RFXR,GB00BDR6V192,0.0,323442
Arix Bioscience PLC,ARIX.L,ARIX,GB00BD045071,0.0,323515
Coro Energy Plc,CORO.L,CORO,GB00BDCFP425,0.0,323635
Emmerson PLC,EML.L,EML,IM00BDHDTX83,0.0,329423
XPS Pensions Group PLC,XPS.L,XPS,GB00BDDN1T20,0.0,323487
UP Global Sourcing Holdings PLC,UPGS.L,UPGS,GB00BYX7MG58,0.0,323602
BioPharma Credit PLC,BPCR.L,BPCR,GB00BDGKMY29,0.0,323837
Tufton Oceanic Assets Ltd,SHIP.L,SHIP,GG00BDFC1649,0.0,326261
Medica Group PLC,MGPM.L,MGPM,GB00BYV24996,0.0,323794
SkinBioTherapeutics PLC,SBTX.L,SBTX,GB00BF33H870,0.0,323919
Dukemount Capital PLC,DKE.L,DKE,GB00B6WZDF03,0.0,324157
DG Innovate PLC,DGI.L,DGI,GB00BYQD5059,0.0,275389
Deepverge PLC,DVRG.L,DVRG,GB00BMGWZY29,0.0,324117
Logistics Development Group PLC,LDG.L,LDG,GB00BD8QVC95,0.0,324025
Alpha Group International PLC,ALPH.L,ALPH,GB00BF1TM596,0.0,323943
EJF Investments Ltd,EJFI.L,EJFI,JE00BF0D1M25,0.0,325198
Ten Entertainment Group PLC,TEG.L,TEG,GB00BF020D33,0.0,240879
Verditek PLC,VDTK.L,VDTK,GB00BF2C0424,0.0,325185
Global Ports Holding PLC,GPH.L,GPH,GB00BD2ZT390,0.0,324427
Kanabo Group PLC,KNB.L,KNB,GB00BYQCS703,0.0,324600
Velocity Composites PLC,VELV.L,VELV,GB00BF339H01,0.0,324332
Grand Fortune High Grade Ltd,GFHG.L,GFHG,KYG405621031,0.0,325766
I3 Energy PLC,I3E.L,I3E,GB00BDHXPJ60,0.0,324498
Alfa Financial Software Holdings PLC,ALFAAL.L,ALFAAL,GB00BDHXPG30,0.0,324616
PRS Reit PLC,PRSR.L,PRSR,GB00BF01NH51,0.0,324673
Alternative Income REIT PLC,AIREA.L,AIREA,GB00BDVK7088,0.0,324662
Residential Secure Income PLC,RESIR.L,RESIR,GB00BYSX1508,0.0,324916
DP Eurasia NV,DPEU.L,DPEU,NL0012328801,0.0,324900
Phoenix Copper Ltd,PXC.L,PXC,VGG7060R1139,0.0,324879
Ethernity Networks Ltd,ENET.L,ENET,IL0011410359,0.0,324860
Jangada Mines PLC,JANJ.L,JANJ,GB00BZ11WQ61,0.0,324878
Tatton Asset Management PLC,TAMT.L,TAMT,GB00BYX1P358,0.0,324892
Rockpool Acquisitions PLC,ROC.L,ROC,GB00BF2MWC40,0.0,325075
Hipgnosis Songs Fund Ltd,SONG.L,SONG,GG00BFYT9H72,0.0,325113
Nexus Infrastructure PLC,NEXSN.L,NEXSN,GB00BZ77SW60,0.0,324919
Supermarket Income REIT PLC,SUPR.L,SUPR,GB00BF345X11,0.0,325158
Angling Direct PLC,ANG.L,ANG,GB00BF1XGQ00,0.0,324932
QUIZ PLC,QUIZ.L,QUIZ,JE00BZ00SF59,0.0,325108
GetBusy PLC,GETB.L,GETB,GB00BG0TSD71,0.0,325152
450 PLC,450.L,450,JE00BZBYC658,0.0,325207
Triple Point Social Housing REIT PLC,SOHO.L,SOHO,GB00BF0P7H59,0.0,325131
Strix Group PLC,KETL.L,KETL,IM00BF0FMG91,0.0,325128
Xpediator PLC,XPD.L,XPD,GB00BF6P5V92,0.0,325186
Asia Strategic Holdings Ltd,ASIA.L,ASIA,SG9999015747,0.0,325252
Warehouse REIT PLC,WHRW.L,WHRW,GB00BD2NCM38,0.0,325430
