Company Name,RIC,RIC1(ticker),delisted MM,delisted YY,ISIN,CUSIP,SEDOL
Wihlborgs Fastigheter Ord Shs,0GWG.L^A08,0GWG,1,2008,GB0001950582,,
Wihlborgs Fastigheter Ord Shs,0GWG.L^G18,0GWG,7,2018,IT0001398541,,
Svolder Ord Shs Class B,0GWR.L^A08,0GWR,1,2008,GB00B02TW537,,
Svolder Ord Shs Class B,0GWR.L^B18,0GWR,2,2018,GB0001882744,,
Beijer Alma Ord Shs Class B,0GX4.L^G18,0GX4,7,2018,BMG9456A1009,,
Beijer Alma Ord Shs Class B,0GX4.L^A08,0GX4,1,2008,GB0001604098,,
Anoto Group Ord Shs,0GYX.L^J17,0GYX,10,2017,,,
Anoto Group Ord Shs,0GYX.L^A08,0GYX,1,2008,GB0034250315,,
MultiQ International Ord Shs,0GZ4.L^A08,0GZ4,1,2008,GB0034396019,,
MultiQ International Ord Shs,0GZ4.L^F22,0GZ4,6,2022,,,
Svolder Ord Shs Class A,0H1E.L^A08,0H1E,1,2008,GB0001500353,,
Svolder Ord Shs Class A,0H1E.L^B18,0H1E,2,2018,GB00B2Q8XQ83,,
Hufvudstaden Ord Shs Class C,0H2N.L^A08,0H2N,1,2008,GB00B1L5NZ64,,
Hufvudstaden Ord Shs Class C,0H2N.L^C20,0H2N,3,2020,GB00B01TNC84,,
Melker Schorling Ord Shs,0H2O.L^G19,0H2O,7,2019,GG00B1VYV826,,
Melker Schorling Ord Shs,0H2O.L^A08,0H2O,1,2008,GB0007382483,,
Skistar Ord Shs Class B,0H34.L^A08,0H34,1,2008,GB0002251600,,
Skistar Ord Shs Class B,0H34.L^A19,0H34,1,2019,GB0033476960,,
MAN Ord Shs,0H3U.L^G09,0H3U,7,2009,US0325111070,032511107,
MAN Ord Shs,0H3U.L^B09,0H3U,2,2009,GB00B2PTQS53,,
Bayer Schering Pharma Ord Shs,0HA1.L^J08,0HA1,10,2008,JE00BQT3MP04,,
Bayer Schering Pharma Ord Shs,0HA1.L^E08,0HA1,5,2008,,,
Aetna Ord Shs,0HAO.L^L18,0HAO,12,2018,GB00B8KJH563,,
SUEZ Ord Shs,0HAO.L^F09,0HAO,6,2009,,,
GEDI Gruppo Editoriale Ord Shs,0HBO.L^E08,0HBO,5,2008,,,
GEDI Gruppo Editoriale Ord Shs,0HBO.L^H20,0HBO,8,2020,US03835L2079,03835L207,
Apple Ord Shs,0HDZ.L^A08,0HDZ,1,2008,,,
Apple Ord Shs,0HDZ.L^L08,0HDZ,12,2008,BMG9887P1068,,
Hamburger Hafen und Logistik Ord Shs,0HFJ.L^C09,0HFJ,3,2009,GB0033982967,,
AmTrust Financial Services Ord Shs,0HFJ.L^L18,0HFJ,12,2018,US8726491082,872649108,
Truist Financial Ord Shs,0HKH.L^G20,0HKH,7,2020,US53566P1093,53566P109,
Swisscom Ord Shs,0HKH.L^F09,0HKH,6,2009,,,
Zumtobel Group Ord Shs,0HTX.L^D10,0HTX,4,2010,GB0001848638,,
Carrizo Oil and Gas Ord Shs,0HTX.L^G20,0HTX,7,2020,US25401T6038,25401T603,
Vienna Insurance Group Ord Shs,0I3F.L^D09,0I3F,4,2009,GB0002643780,,
Control4 Ord Shs,0I3F.L^C20,0I3F,3,2020,SG9999007926,,
SSAB Ord Shs Class A,0I9L.L^B09,0I9L,2,2009,GB0003028692,,
SSAB Ord Shs Class A,0I9L.L^G09,0I9L,7,2009,US3024451011,302445101,
Develia Ord Shs,0IFA.L^K09,0IFA,11,2009,SE0020050805,,
Develia Ord Shs,0IFA.L^B09,0IFA,2,2009,GB0006918139,,
Endocyte Ord Shs,0IH0.L^K19,0IH0,11,2019,NO0003390007,,
Endocyte Ord Shs,0IH0.L^K19,0IH0,11,2019,GB00B02WB337,,
Credit Suisse Group Ord Shs,0IZB.L^F09,0IZB,6,2009,,,
Office Properties Income Ord Shs,0IZB.L^D19,0IZB,4,2019,GB0032352964,,
Union Fenosa Ord Shs,0JC4.L^G08,0JC4,7,2008,NO0010429145,,
Union Fenosa Ord Shs,0JC4.L^I09,0JC4,9,2009,DE0008045501,,
Global PVQ Ord Shs,0JNY.L^B09,0JNY,2,2009,GB00B590LQ84,,
Global PVQ Ord Shs,0JNY.L^D10,0JNY,4,2010,GB00BKY7HG11,,
Titan Cement Company Ord Shs,0JO8.L^B09,0JO8,2,2009,SG1T56930848,,
Titan Cement Company Ord Shs,0JO8.L^D10,0JO8,4,2010,GG00BF00L672,,
Kansas City Southern Ord Shs,0JQ4.L^L21,0JQ4,12,2021,GB00BQ1XTV39,,
Apple Ord Shs,0JQ4.L^D10,0JQ4,4,2010,GB0003308607,,
Neonode Ord Shs,0K62.L^D19,0K62,4,2019,GB0003554101,,
Airbus Ord Shs,0K62.L^E09,0K62,5,2009,,,
Ap Alternative Assets Lp Ord Shs,0K7K.L^D21,0K7K,4,2021,GB0001825669,,
Ap Alternative Assets Lp Ord Shs,0K7K.L^B18,0K7K,2,2018,GB0002104676,,
Sponda Ord Shs,0KC3.L^L17,0KC3,12,2017,GB0033994046,,
Sponda Ord Shs,0KC3.L^I19,0KC3,9,2019,AT0000908504,,
Solvang Ord Shs,0KDM.L^K19,0KDM,11,2019,QQ0031945918,,
Solvang Ord Shs,0KDM.L^K19,0KDM,11,2019,GB0030899107,,
MAN Ord Shs,0KJB.L^K11,0KJB,11,2011,GB0007215501,,
MAN Ord Shs,0KJB.L^I21,0KJB,9,2021,NO0010199151,,
eCard Ord Shs,0KNT.L^K09,0KNT,11,2009,GB00BF553726,,
Praxair Ord Shs,0KNT.L^A19,0KNT,1,2019,SGXE21576413,,
Centrum Nowoczesnych Technologii Ord Shs,0KOA.L^K09,0KOA,11,2009,BG11KMBEAT10,,
Progenics Pharmaceuticals Ord Shs,0KOA.L^G20,0KOA,7,2020,CA38116P1053,38116P105,
Grupa Azoty Zaklady Azotowe Pulawy Ord Shs,0KSJ.L^G09,0KSJ,7,2009,US92854B1098,92854B109,
Grupa Azoty Zaklady Azotowe Pulawy Ord Shs,0KSJ.L^K09,0KSJ,11,2009,DE0005229504,,
Wielton Ord Shs,0KU4.L^K09,0KU4,11,2009,GB0001352250,,
Raytheon Ord Shs,0KU4.L^D20,0KU4,4,2020,GB0003803268,,
Red Hat Ord Shs,0KUI.L^C20,0KUI,3,2020,BMG3728V1090,,
Zaklady Urzadzen Kotlowych Staporkow Ord Shs,0KUI.L^K09,0KUI,11,2009,US00901B1052,00901B105,
Leasco Ord Shs,0LJY.L^I09,0LJY,9,2009,DE0005009104,,
Leasco Ord Shs,0LJY.L^K09,0LJY,11,2009,GB0002233681,,
Aqua Bielsko-Biala Ord Shs,0LMX.L^I09,0LMX,9,2009,DE0005247308,,
Aqua Bielsko-Biala Ord Shs,0LMX.L^K09,0LMX,11,2009,GB00B3VF4Y66,,
Holdikom Ord Shs,0LMZ.L^K09,0LMZ,11,2009,GB0006318314,,
Holdikom Ord Shs,0LMZ.L^I09,0LMZ,9,2009,PLABMSD00015,,
Ostrowski Zaklad Ord Shs,0LN2.L^I09,0LN2,9,2009,PLARCUS00040,,
Ostrowski Zaklad Ord Shs,0LN2.L^K09,0LN2,11,2009,US8293991043,829399104,
Havas Ord Shs,0MGT.L^L17,0MGT,12,2017,JP3500600006,,
Havas Ord Shs,0MGT.L^K19,0MGT,11,2019,SE0009696040,,
Delta Lloyd Ord Shs,0MK9.L^K17,0MK9,11,2017,GB00B02N3Q39,,
Delta Lloyd Ord Shs,0MK9.L^F17,0MK9,6,2017,,,
Electrawinds Ord Shs,0NVD.L^F17,0NVD,6,2017,,,
Electrawinds Ord Shs,0NVD.L^D21,0NVD,4,2021,,,
PKC Group Ord Shs,0OA1.L^J17,0OA1,10,2017,GB00B40SF849,,
PKC Group Ord Shs,0OA1.L^I19,0OA1,9,2019,FR0004254035,,
Brit Insurance Holdings Ord Shs,0P36.L^D11,0P36,4,2011,,,
Brit Insurance Holdings Ord Shs,0P36.L^I11,0P36,9,2011,DE000A1EL8Y8,,
METRIC mobility solutions Ord Shs,0QGN.L^D21,0QGN,4,2021,QQ0007425408,,
METRIC mobility solutions Ord Shs,0QGN.L^J16,0QGN,10,2016,GB0001435410,,
Sfr Group Ord Shs,0QSQ.L^J17,0QSQ,10,2017,GRS445003007,,
Sfr Group Ord Shs,0QSQ.L^K19,0QSQ,11,2019,GB00B02N3P22,,
Snowbird Ord Shs,0QXO.L^J22,0QXO,10,2022,BG1100013108,,
Snowbird Ord Shs,0QXO.L^I16,0QXO,9,2016,US30219G1085,30219G108,
Heliocentris Energy Solutions Ord Shs,0R8C.L^D21,0R8C,4,2021,,,
Heliocentris Energy Solutions Ord Shs,0R8C.L^B17,0R8C,2,2017,,,
Steilmann Ord Shs,0RCJ.L^D17,0RCJ,4,2017,QQ0030158638,,
Steilmann Ord Shs,0RCJ.L^D21,0RCJ,4,2021,,,
Frontier Communications Ord Shs,0TP1.L^E21,0TP1,5,2021,,,
Frontier Communications Ord Shs,0TP1.L^D19,0TP1,4,2019,,,
Aurora Cannabis Ord Shs,0UJG.L^K18,0UJG,11,2018,CA00652V1022,00652V102,
Aurora Cannabis Ord Shs,0UJG.L^B21,0UJG,2,2021,FI0009000681,,
ZetaDisplay Ord Shs,0WBI.L^J21,0WBI,10,2021,GB0005567630,,
ZetaDisplay Ord Shs,0WBI.L^J21,0WBI,10,2021,MXP191191339,,
Cheung Kong (Holdings) Ord Shs,001.L^K93,1,11,1993,GB00B1FMM786,,
Cheung Kong (Holdings) Ord Shs,0001.L^H96,1,8,1996,HK0019000162,,
Jardine Matheson Holdings Ord Shs,015.L^K93,15,11,1993,PLINTCS00010,,
Jardine Matheson Holdings Ord Shs,0015.L^A95,15,1,1995,CH0242225198,,
Swire Pacific Ord Shs A,019.L^K93,19,11,1993,GB0001751915,,
Swire Pacific Ord Shs A,0019.L^H96,19,8,1996,DE0006048408,,
CLP Holdings Ord Shs,0002.L^H96,2,8,1996,BMG348041077,,
CLP Holdings Ord Shs,002.L^K93,2,11,1993,SE0016589188,,
Dfi Retail Group Holdings Ord Shs,353.L^K93,353,11,1993,US0391011006,039101100,
Dfi Retail Group Holdings Ord Shs,0353.L^D95,353,4,1995,DE000A2AACR4,,
365 Media Group Ord Shs,365.L^B07,365,2,2007,GB0001513513,,
365 Agile Group Ord Shs,365.L^H17,365,8,2017,,,
Wharf (Holdings) Ord Shs,0004.L^H96,4,8,1996,BMG5150J1577,,
Wharf (Holdings) Ord Shs,004.L^K93,4,11,1993,GB00B4VR3D16,,
Mandarin Oriental International Ord Shs,0422.L^D95,422,4,1995,DE000A2AAAP2,,
Mandarin Oriental International Ord Shs,422.L^K93,422,11,1993,GB0002067014,,
JF Japan OTC Fd Common Stock,0565.L^L93,565,12,1993,GB0003143251,,
JF Japan OTC Fd Common Stock,565.L^K93,565,11,1993,ZAE000017307,,
Power Assets Holdings Ord Shs,0006.L^H96,6,8,1996,HK0000356805,,
Power Assets Holdings Ord Shs,006.L^K93,6,11,1993,US5249011058,524901105,
Hongkong Land Holdings Ord Shs,0007.L^D95,7,4,1995,SE0002216713,,
Hongkong Land Holdings Ord Shs,007.L^K93,7,11,1993,DK0010219666,,
Pakistan Fund Common Stock,711.L^K93,711,11,1993,CH0012138530,,
Pakistan Fund Common Stock,0711.L^K93,711,11,1993,US8753701080,875370108,
Nikon Ord Shs,7731q.L^L97,7731q,12,1997,GB00B97CW509,,
Nikon Ord Shs,7731q.L^J08,7731q,10,2008,GB0001915395,,
Sumitomo Bank Common Stock,8318q.L^C01,8318q,3,2001,GB00B19Z1432,,
Sumitomo Bank Common Stock,8318q.L^K02,8318q,11,2002,GB00B23DMC53,,
Wah Kwong Ship Common Stock,095.L^K93,95,11,1993,GB0000805076,,
Wah Kwong Ship Common Stock,0095.L^C97,95,3,1997,CA74051D1042,74051D104,
Airtel Africa PLC,AAF.L,AAF,0,0,GB00BDQYGP38,,BDQYGP3
AAF Investment Ord Shs,AAF.L^L99,AAF,12,1999,NL0000853091,,
ABN AMRO Holding Ord Shs,AAHq.L^E04,AAHq,5,2004,,,
ABN AMRO Holding Ord Shs,AAHq.L^G93,AAHq,7,1993,,,
Alex & Alex Svcs Common Stock,AAL.L^D97,AAL,4,1997,GB00B1T8X133,,
Anglo American PLC,AAL.L,AAL,0,0,GB00B13QQB40,,B13QQB4
Artemis VCT PLC,AAM.L^J20,AAM,10,2020,CA72765Y1097,72765Y109,
Recycled Waste Common Stock,AAM.L^J00,AAM,10,2000,GB0006827322,,
ABN AMRO Holding Ord Shs,AAM.L^H96,AAM,8,1996,,,
Apple Ord Shs,AAPLq.L^A00,AAPLq,1,2000,GB00BKZH2875,,
Apple Ord Shs,AAPLq.L^K07,AAPLq,11,2007,FR0000121220,,
Howmet Aerospace Ord Shs,AAq.L^A00,AAq,1,2000,QQ0007310543,,
Howmet Aerospace Ord Shs,AAq.L^L07,AAq,12,2007,CA00818V1031,00818V103,
Supply Me Capital Ord Shs,ABAL.L^B20,ABAL,2,2020,KYG750031141,,
Harvard International Ord Shs,ABAL.L^I93,ABAL,9,1993,,,
Abb Ord Shs,ABBNq.L^I05,ABBNq,9,2005,,,
Abb Ord Shs,ABBNq.L^K07,ABBNq,11,2007,JP3942400007,,
AB Airlines PLC Common Stock,ABR.L^F00,ABR,6,2000,,,
Dowgate Capital Ord Shs,ABR.L^F02,ABR,6,2002,,,
Absolute Return Trust C Ord Shs,ABRc.L^K08,ABRc,11,2008,GB00B15SQZ22,,
Absolute Return Trust C Sterling Ord Shs,ABRc.L^C08,ABRc,3,2008,GB00B4ZH7J18,,
Absolute Return Trust Ord Shs,ABRc.L^F06,ABRc,6,2006,,,
Aberdeen New Thai Inv Tst PLC,ABTU.L^I93,ABTU,9,1993,,,
AquaBounty Technologies Ord Shs,ABTU.L^F17,ABTU,6,2017,,,
Barrick Gold Ord Shs,ABXq.L^A00,ABXq,1,2000,GB00B8D0B657,,
Barrick Gold Ord Shs,ABXq.L^E07,ABXq,5,2007,,,
Accor Ord Shs,ACCPq.L^K07,ACCPq,11,2007,CA3193843016,319384301,
Accor Ord Shs,ACCPq.L^F98,ACCPq,6,1998,,,
AcenciA Debt Strategies Closed Fund,ACD.L^B19,ACD,2,2019,CH0012332372,,
Arcadian International Ord Shs,ACD.L^D98,ACD,4,1998,GB0007336307,,
Acambis Ord Shs,ACM.L^I08,ACM,9,2008,,,
Accumuli Ord Shs,ACM.L^E15,ACM,5,2015,,,
Premier Health Common Stock,ACS.L^G96,ACS,7,1996,,,
Action Ord Shs,ACS.L^K01,ACS,11,2001,GB00B42KJ190,,
Actif Group Ord Shs,ACT.L^J06,ACT,10,2006,JP3194000000,,
Allied Carpets Common Stock,ACT.L^K99,ACT,11,1999,GB0033606608,,
AB Consulting Common Stock,ACT.L^K93,ACT,11,1993,GB0001853836,,
Active Imaging Ord Shs,ACV.L^C98,ACV,3,1998,SE0000113094,,
Advance Visual Ord Shs,ACV.L^G07,ACV,7,2007,,,
Touch Group Ord Shs,ADA.L^H99,ADA,8,1999,,,
ADL Common Stock,ADA.L^L04,ADA,12,2004,,,
Adobe Ord Shs,ADBEq.L^A00,ADBEq,1,2000,GB0030668940,,
Adobe Ord Shs,ADBEq.L^K07,ADBEq,11,2007,GB0031286759,,
Adaptive Venture Common Stock,ADE.L^E03,ADE,5,2003,,,
Adscene Group Common Stock,ADE.L^J99,ADE,10,1999,PLTETA000010,,
Allianz Dresdner 2 Endow Policy 2006 Ord Shs,ADR.L^J06,ADR,10,2006,GB0008030271,,
Allied Radio PLC Common Stock,ADR.L^F96,ADR,6,1996,,,
Adidas N Ord Shs,ADSGq.L^K07,ADSGq,11,2007,GB0034380518,,
Adidas N Ord Shs,ADSGq.L^L97,ADSGq,12,1997,US7551115071,755111507,
Adept Technology Group Ord Shs,ADT.L^D23,ADT,4,2023,SE0007100599,,
Johnson Controls International Ord Shs,ADT.L^G97,ADT,7,1997,,,
Aegon Ord Shs,AEGNq.L^J98,AEGNq,10,1998,PLCTINT00018,,
Aegon Ord Shs,AEGNq.L^E04,AEGNq,5,2004,,,
abrdn Equity Income Trust PLC,AEI.L,AEI,0,0,GB00BNYKJJ86,,BNYKJJ8
ACM Eur Enhanced Ord Shs,AEI.L^J05,AEI,10,2005,GB0009618736,,
Aerte Group Ord Shs,AERA.L^A13,AERA,1,2013,GB0008384272,,
Aer Lingus Group Assented Iag Cash Ord Shs,AERA.L^I15,AERA,9,2015,,,
Adeste Invest Ord Shs,AET.L^I06,AET,9,2006,,,
Afentra PLC,AET.L,AET,0,0,GB00BZC0LC10,,BZC0LC1
Advanced Fluid Ord Shs,AFC.L^I06,AFC,9,2006,,,
Aberdeen FC Ord Shs,AFC.L^H03,AFC,8,2003,,,
African Pioneer PLC,AFPA.L,AFPA,0,0,GB00BN6JYS78,,BN6JYS7
Chiltern Capital Common Stock,AFPA.L^B92,AFPA,2,1992,IE0033849617,,
Amiad Water Systems Ord Shs,AFS.L^H21,AFS,8,2021,,,
Aberdeen Pref Secs Common Stock,AFS.L^E98,AFS,5,1998,,,
Amer General Common Stock,AGC.L^H96,AGC,8,1996,,,
Agcert International Ord Shs,AGC.L^D08,AGC,4,2008,GB00B5NFV695,,
AGF Assurances Ord Shs,AGFPq.L^F07,AGFPq,6,2007,,,
AGF Assurances Ord Shs,AGFPq.L^E98,AGFPq,5,1998,,,
Assura PLC,AGRP.L,AGRP,0,0,GG00BWWYMV85,,BWWYMV8
Assura Group REIT Ord Shs,AGRP.L^A15,AGRP,1,2015,NL0000226223,,
Argonaut Games Ord Shs,AGT.L^C05,AGT,3,2005,GG00B53QY416,,
AVI Global Trust PLC,AGT.L,AGT,0,0,GB00BFXYH242,,BFXYH24
Aerostruct Hambl Common Stock,AHH.L^L95,AHH,12,1995,GB0008287855,,
Ashtenne Hldgs Ord Shs,AHH.L^F05,AHH,6,2005,,,
Allied HealthCare International Ord Shs,AHI.L^H10,AHI,8,2010,,,
Aberdeen High Income Trust PLC Common Stock,AHI.L^C03,AHI,3,2003,GB0001355154,,
Aberdeen High Income Trust PLC Common Stock,AHIe.L^A02,AHIe,1,2002,FR0000130908,,
Aberdeen High Income Trust PLC Common Stock,AHIe.L^D98,AHIe,4,1998,GB0007892358,,
Aberdeen High Income Trust PLC Common Stock,AHIe.L^D99,AHIe,4,1999,SE0000667891,,
Koninklijke Ahold Delhaize Ord Shs,AHLNq.L^J98,AHLNq,10,1998,DE000A0Z2ZZ5,,
Koninklijke Ahold Delhaize Ord Shs,AHLNq.L^E04,AHLNq,5,2004,,,
Anglo Irish Bank Ord Shs,AIB.L^B02,AIB,2,2002,GB0006834344,,
Anglo Irish Bank Ord Shs,AIB.L^I02,AIB,9,2002,,,
Anite Ord Shs,AIE.L^H15,AIE,8,2015,,,
Ashoka India Equity Investment Trust PLC,AIE.L,AIE,0,0,GB00BFYF6298,,BFYF629
American International Group Ord Shs,AIGq.L^G07,AIGq,7,2007,,,
American International Group Ord Shs,AIGq.L^K97,AIGq,11,1997,PLPZBDT00013,,
L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes George Ord Shs,AIRPq.L^K07,AIRPq,11,2007,FR0000130213,,
L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes George Ord Shs,AIRPq.L^B98,AIRPq,2,1998,GB0001922532,,
Alternative Invest.Strategies Ord Shs,AISc.L^F06,AISc,6,2006,,,
Alternative Invest Strategies Class C Sterling Hedged Ord Shs,AISc.L^J05,AISc,10,2005,GB0000059195,,
Alternative Invest Strategies Red Ord Shs,AISc.L^H01,AISc,8,2001,,,
Akzo Nobel Ord Shs,AKZOq.L^J02,AKZOq,10,2002,MHY8565N3002,,
Akzo Nobel Ord Shs,AKZOq.L^J98,AKZOq,10,1998,DE0005428007,,
Akzo Nobel Ord Shs,AKZOq.L^E01,AKZOq,5,2001,,,
Akzo Nobel Ord Shs,AKZOq.L^E04,AKZOq,5,2004,,,
Care UK Ord Shs,ALA.L^C94,ALA,3,1994,GB0003220273,,
Aberdeen Latin American Investment Trust PLC Common Stock,ALA.L^I02,ALA,9,2002,,,
Aldermore Group Ord Shs,ALD.L^C18,ALD,3,2018,GB0008696436,,
Alldays Ord Shs,ALD.L^A04,ALD,1,2004,GB00B0V28N38,,
Honeywell International Ord Shs,ALD.L^H96,ALD,8,1996,,,
Honeywell International Ord Shs,ALDq.L^A00,ALDq,1,2000,JE00B41PDC45,,
Honeywell International Ord Shs,ALDq.L^G02,ALDq,7,2002,,,
Actionleisure Common Stock,ALE.L^D02,ALE,4,2002,GB0009301747,,
ABI Leisure Common Stock,ALE.L^B99,ALE,2,1999,GB0009260091,,
Allocate Software Ord Shs,ALLA.L^A15,ALLA,1,2015,GB00B5N0P849,,
Atlantic Lithium Ltd,ALLA.L,ALLA,0,0,GG00BTC2K735,,BTC2K73
Timeweave Ord Shs,ALML.L^I93,ALML,9,1993,,,
Allied Minds Ord Shs,ALML.L^K22,ALML,11,2022,HK0000608585,,
Fortress Hldgs Common Stock,ALN.L^K99,ALN,11,1999,GB00B02WB006,,
Alterian Ord Shs,ALN.L^A12,ALN,1,2012,GB0030013675,,
Alld Ldn Props Common Stock,ALP.L^G00,ALP,7,2000,,,
All IPO Ord Shs,ALP.L^H09,ALP,8,2009,,,
Allianz Dresdner Income Growth IT Ord Shs,ALR.L^F06,ALR,6,2006,,,
Allied Leisure Common Stock,ALR.L^K00,ALR,11,2000,GB0003309563,,
Allianz Ord Shs,ALVGq.L^K07,ALVGq,11,2007,GB0001411924,,
Allianz Ord Shs,ALVGq.L^B98,ALVGq,2,1998,GB00B07NJS25,,
Allianz Ord Shs,ALVGq.L^A10,ALVGq,1,2010,GB0009664706,,
Alleanza Assicurazioni Ord Shs,ALZIq.L^G98,ALZIq,7,1998,,,
Alleanza Assicurazioni Ord Shs,ALZIq.L^K07,ALZIq,11,2007,US0733251021,073325102,
Alcan Ord Shs,ALq.L^A00,ALq,1,2000,CH0000844347,,
Alcan Ord Shs,ALq.L^L07,ALq,12,2007,US8941801081,894180108,
Applied Material Ord Shs,AMATq.L^A00,AMATq,1,2000,GB0009443358,,
Applied Material Ord Shs,AMATq.L^K07,AMATq,11,2007,GB00BKXNB024,,
Amerisur Resources Ord Shs,AMER.L^A20,AMER,1,2020,US9815581098,981558109,
Amer Sports Ord Shs,AMER.L^H96,AMER,8,1996,,,
Amgen Ord Shs,AMGNq.L^A00,AMGNq,1,2000,GB0001824035,,
Amgen Ord Shs,AMGNq.L^K07,AMGNq,11,2007,DE0008232125,,
American Investment Trust Ord Shs,AMI.L^G05,AMI,7,2005,,,
Amber Industrial Common Stock,AMI.L^J98,AMI,10,1998,GB0008935453,,
