Company Name,ISIN,CUSIP (extended),SEDOL Code,RIC
Hummingbird Resources PLC,GB00B60BWY28,G4706Q104,B60BWY2,HUMR.L
Europa Metals Ltd,AU0000090060,Q3642R126,BM9G091,EUZ.L
BlackRock Frontiers Investment Trust PLC,GB00B3SXM832,G1315L104,B3SXM83,BRFI.L
Empire Metals Ltd,VGG3036T1012,G3036T101,BKTZQR4,EEEE.L
CATCo Reinsurance Opportunities Fund Ltd,BMG1961Q3242,G1961Q324,BQPDVD5,CATC.L
Gresham House Renewable Energy VCT 2 plc,GB00B43GVJ82,G4364X110,B43GVJ8,GV2O.L
Gresham House Renewable Energy VCT 1 plc,GB00B4M2G812,G4364Y118,B4M2G81,GV1O.L
International Consolidated Airlines Group SA,ES0177542018,E67674106,B5M6XQ7,ICAG.L
Frontier IP Group PLC,GB00B63PS212,G3692S108,B63PS21,FIPPG.L
Botswana Diamonds PLC,GB00B5TFC825,G1486W103,B5TFC82,BODP.L
Jersey Oil and Gas PLC,GB00BYN5YK77,G51073107,BYN5YK7,JOG.L
Sylvania Platinum Ltd,BMG864081044,G86408104,B3V5PR6,SLPL.L
dotDigital Group PLC,GB00B3W40C23,G2897D106,B3W40C2,DOTD.L
Microsaic Systems PLC,GB00B547ZY09,G60838102,B547ZY0,MSYS.L
NB Global Monthly Income Fund Ltd,GG00BQWPBN46,G6429M146,BQWPBN4,NBMI.L
Oracle Power PLC,GB00B23JN426,G67666100,B23JN42,ORCP.L
Henderson International Income Trust PLC,GB00B3PHCS86,G44792110,B3PHCS8,HINT.L
Diverse Income Trust PLC,GB00B65TLW28,G2890Y107,B65TLW2,DIVI.L
Glencore PLC,JE00B4T3BW64,G39420107,B4T3BW6,GLEN.L
Strategic Minerals PLC,GB00B4W8PD74,G8545J106,B4W8PD7,SMLP.L
Learning Technologies Group PLC,GB00B4T7HX10,G5416A107,B4T7HX1,LTGL.L
Genel Energy PLC,JE00B55Q3P39,G3791G104,B55Q3P3,GENL.L
IQGeo Group PLC,GB00B3NCXX73,G4939N100,B3NCXX7,IQG.L
Enteq Technologies PLC,GB00B41Q8Q68,G3159Z108,B41Q8Q6,NTQ.L
Smart Metering Systems PLC,GB00B4X1RC86,G82373104,B4X1RC8,SMSS.L
Doric Nimrod Air Two Ltd,GG00B3Z62522,G28985102,B3Z6252,DNA2_p.L
Trinity Exploration and Production PLC,GB00BN7CJ686,G9068W110,BN7CJ68,TRIN.L
Keras Resources PLC,GB00BMY2T534,G5239S111,BMY2T53,KRS.L
Spectra Systems Corp,US84756T1060,84756T106,B4L4MR9,SPSY.L
Pembridge Resources PLC,GB00BG107324,G2558G117,BG10732,PERE.L
Great Western Mining Corporation PLC,IE00B1FR8863,G41582100,B1FR886,GWMO.L
OptiBiotix Health PLC,GB00BP0RTP38,G6771U100,BP0RTP3,OPTIO.L
Agronomics Ltd,IM00B6QH1J21,G0133Q105,B6QH1J2,ANIC.L
Galileo Resources PLC,GB00B115T142,G3709U104,B115T14,GLR.L
Wentworth Resources PLC,JE00BGT34J81,G94949107,BGT34J8,WEN.L
Polymetal International PLC,JE00B6T5S470,G7179S101,B6T5S47,POLYP.L
Secure Trust Bank PLC,GB00B6TKHP66,G8014H102,B6TKHP6,STBS.L
EVRAZ plc,GB00B71N6K86,G33090104,B71N6K8,EVRE.L
Worldlink Group PLC,GB00B3P21X12,G97749116,B74WB41,WGP.L
Inspired PLC,GB00BR2Q0V58,G4836Z107,BR2Q0V5,INSEI.L
Hawkwing PLC,GB00BLF0L315,G4349P117,BLF0L31,HNG.L
BBGI Global Infrastructure SA,LU0686550053,L10642103,B6QWXM4,BBGIB.L
Thames Ventures VCT 2 PLC,GB00B6QPQ463,G2900H144,B6QPQ46,DA1Od.L
Belvoir Group PLC,GB00B4QY1P51,G1162V106,B4QY1P5,BLVB.L
Bank of Georgia Group PLC,GB00BF4HYT85,G0R1NA104,BF4HYT8,BGEO.L
Rockfire Resources PLC,GB00B42TN250,G6901U103,B42TN25,ROCKR.L
Bushveld Minerals Ltd,GG00B4TM3943,G1340T106,B4TM394,BMNB.L
Eden Research PLC,GB0001646941,G2928D109,0164694,EDENE.L
Deltic Energy PLC,GB00BNTY2N01,G2339Z137,BNTY2N0,DELT.L
WANdisco PLC,JE00B6Y3DV84,G9381R103,B6Y3DV8,WAND.L
Duke Royalty Ltd,GG00BYZSSY63,G2861K102,BYZSSY6,DUKE.L
Itaconix PLC,GB00B84LVH87,G4971E109,B84LVH8,ITXI.L
Wishbone Gold PLC,GI000A2PX455,X980C4139,BL7BFW9,WSBN.L
Good Energy Group PLC,GB0033600353,G6257U103,3360035,GOODG.L
Ground Rents Income Fund PLC,GB00B715WG26,G4136G106,B8K0LM4,GRIO.L
Eco Buildings Group PLC,GB00BRJTP124,G3654N113,BRJTP12,ECOB.L
Mycelx Technologies Corp,US62847T2024,62847T202,B8NZQP4,MYXM.L
Power Metal Resources PLC,GB00BYWJZ743,G7308H109,BYWJZ74,POWP.L
Direct Line Insurance Group PLC,GB00BY9D0Y18,G2871V114,BY9D0Y1,DLGD.L
Blackrock Sustainable American Income Trust PLC,GB00B7W0XJ61,G1320D105,B7W0XJ6,BRSA.L
Syncona Ltd,GG00B8P59C08,G8651Q100,B8P59C0,SYNCS.L
Bluejay Mining PLC,GB00BFD3VF20,G1195B101,BFD3VF2,JAY.L
Premier African Minerals Ltd,VGG7223M1005,G7223M100,B8J4BR2,PREM.L
IG Seismic Services PLC,US4495972022,449597202,B8JVFF9,IGSSq.L
hVIVO PLC,GB00B9275X97,G6755G101,B9275X9,HVO.L
Starwood European Real Estate Finance Ltd,GG00BQWPBM39,G84369126,BQWPBM3,SWEF.L
Inland ZDP PLC,GB00B99R1Q79,G4808B104,B99R1Q7,INLZ_p.L
SysGroup PLC,GB00BYT18182,G2736S116,BYT1818,SYS.L
ICG Longbow Senior Secured UK Property Debt Investments Ltd,GG00B8C23S81,G47395101,B8C23S8,LBOW.L
Crest Nicholson Holdings PLC,GB00B8VZXT93,G25425102,B8VZXT9,CRST.L
t42 IoT Tracking Solutions PLC,JE00BKVDPL34,G8436T114,BKVDPL3,TRAC.L
TwentyFour Income Fund Ltd,GG00B90J5Z95,G91211105,B90J5Z9,TFIF.L
Target Healthcare REIT PLC,GB00BJGTLF51,G8672Z105,BJGTLF5,THRLT.L
Dekel Agri-Vision Plc,CY0106502111,M27615117,BYY9DG7,DKLD.L
Greencoat UK Wind PLC,GB00B8SC6K54,G415A8104,B8SC6K5,UKWG.L
Cambridge Cognition Holdings PLC,GB00B8DV9647,G1870G102,B8DV964,COGC.L
One Media IP Group PLC,GB00B1DRDZ07,G6766H106,B1DRDZ0,OMIP.L
Redcentric PLC,GB00B7TW1V39,G7444T108,B7TW1V3,RCN.L
Versarien PLC,GB00B8YZTJ80,G9338V108,B8YZTJ8,VRS.L
Seplat Energy PLC,NGSEPLAT0008,V78799109,BDFMDD5,SEPL.L
Coca Cola HBC AG,CH0198251305,H1512E100,B9895B7,CCH.L
Nexteq PLC,GB00B99PCP71,G7328U114,B99PCP7,NXQ.L
Weiss Korea Opportunity Fund Ltd,GG00B933LL68,G9519V109,B933LL6,WKOF.L
International Distributions Services PLC,GB00BDVZYZ77,G7368G108,BDVZYZ7,IDSI.L
CVC Income & Growth Ltd,JE00B9MRHZ51,G2716H114,B9MRHZ5,CVCG.L
Falanx Cyber Security Ltd,VGG3338A1158,G3338A115,BQ74QK8,FCS.L
Ab Dynamics PLC,GB00B9GQVG73,G0032G109,B9GQVG7,ABDP.L
Bluefield Solar Income Fund Ltd,GG00BB0RDB98,G1340W109,BB0RDB9,BSIF.L
Polar Capital Global Financials Trust PLC,GB00B9XQT119,G7163M102,B9XQT11,PCFT.L
Myanmar Investments International Ltd,VGG636111004,G63611100,BBBSQP6,MILM.L
Doric Nimrod Air Three Ltd,GG00B92LHN58,G2898H106,B92LHN5,DNA3.L
Globalworth Real Estate Investments Ltd,GG00B979FD04,G3R378107,B979FD0,GWI.L
Keywords Studios PLC,GB00BBQ38507,G5254U108,BBQ3850,KWS.L
Frontier Developments PLC,GB00BBT32N39,G36793100,BBT32N3,FDEV.L
Science in Sport PLC,GB00BBPV5329,G78632109,BBPV532,SISS.L
Renewables Infrastructure Group Ltd,GG00BBHX2H91,G7490B100,BBHX2H9,TRIG.L
Myhealthchecked PLC,GB00BN7K5L93,G63793114,BN7K5L9,MHCM.L
Plus500 Ltd,IL0011284465,M7S2CK109,BBT3PS9,PLUSP.L
Gulf Marine Services PLC,GB00BJVWTM27,G4R77L107,BJVWTM2,GMS.L
Trafalgar Property Group PLC,GB00BMGS6031,G9007U100,BMGS603,TRAF.L
Union Jack Oil PLC,GB00BLH1S316,G92174138,BLH1S31,UJO.L
B90 Holdings PLC,IM00BYT32K14,G9326Z103,BYT32K1,B90.L
CentralNic Group Plc,GB00BCCW4X83,G20717107,BCCW4X8,CNIC.L
Bluerock Diamonds PLC,GB00BKKJK954,G11934117,BKKJK95,BRD.L
Netscientific PLC,GB00BN4R5Q82,G6428Q114,BN4R5Q8,NSCI.L
Foxtons Group PLC,GB00BCKFY513,G3654P100,BCKFY51,FOXT.L
Iog PLC,GB00BF49WF64,G4783J106,BF49WF6,IOG.L
DP Aircraft I Ltd,GG00BBP6HP33,G2R25W100,BBP6HP3,DPAD.L
Riverstone Energy Ltd,GG00BBHXCL35,G4196W108,BBHXCL3,RSER.L
Kromek Group PLC,GB00BD7V5D43,G5317Z102,BD7V5D4,KMK.L
TCS Group Holding PLC,US87238U2033,87238U203,BF233S0,TCSq.L
Everyman Media Group PLC,GB00BFH55S51,G3R10W105,BFH55S5,EMANE.L
Foresight Solar Fund Ltd,JE00BD3QJR55,G36291105,BD3QJR5,FSFL.L
Brave Bison Group PLC,GB00BF8HJ774,G75732100,BF8HJ77,BBSN.L
Just Group PLC,GB00BCRX1J15,G9331B109,BCRX1J1,JUSTJ.L
Brighton Pier Group PLC,GB00BG49KW66,G29182105,BG49KW6,PIER.L
Tritax Big Box Reit PLC,GB00BG49KP99,G9101W101,BG49KP9,BBOXT.L
Safestyle UK PLC,JE00BGP63272,G7751D100,BGP6327,SFES.L
Nationwide Building Society,GB00BBQ33664,G6S178103,BBQ3366,NBS.L
Property Franchise Group PLC,GB00BH0WFH67,G5870B104,BH0WFH6,TPFG.L
Benchmark Holdings PLC,GB00BGHPT808,G09830103,BGHPT80,BMKB.L
Kodal Minerals PLC,GB00BH3X7Y70,G5304K100,BH3X7Y7,KOD.L
Co-Operative Group Ltd,GB00BFXW0630,,BFXW063,42TE.L
Venture Life Group PLC,GB00BFPM8908,G9334M102,BFPM890,VLG.L
Actual Experience PLC,GB00BJ05QC14,G0107C108,BJ05QC1,ACTA.L
NextEnergy Solar Fund Ltd,GG00BJ0JVY01,G65006101,BJ0JVY0,NESF.L
Saga PLC,GB00BMX64W89,G7770H124,BMX64W8,SAGA.L
Niox Group PLC,GB00BJVD3B28,G21477107,BJVD3B2,NIOX.L
Pets at Home Group PLC,GB00BJ62K685,G7041J107,BJ62K68,PETSP.L
SIMEC Atlantis Energy Ltd,SG9999011118,Y7951A104,BJ0XKM3,SAE.L
DX (Group) PLC,GB00BJTCG679,G2887T103,BJTCG67,DXDX.L
JLEN Environmental Assets Group Ltd,GG00BJL5FH87,G5146Z109,BJL5FH8,JLEN.L
McColl's Retail Group PLC,GB00BJ3VW957,G59531106,BJ3VW95,MCLSM.L
AO World plc,GB00BJTNFH41,G0403D107,BJTNFH4,AO.L
Xeros Technology Group PLC,GB00BMGYBJ57,G9828V154,BMGYBJ5,XSG.L
Scholium Group PLC,GB00BJYS2173,G7853S104,BJYS217,SCHOS.L
GRIT Investment Trust PLC,GB00BL594W83,G3929Z115,BL594W8,GRIT.L
TwentyFour Select Monthly Income Fund Ltd,GG00BJVDZ946,G91212103,BJVDZ94,SMIF.L
Mosman Oil and Gas Ltd,AU0000XINET1,Q6371A107,BJ365T1,MSMN.L
XLMedia PLC,JE00BH6XDL31,G9828U107,BH6XDL3,XLM.L
boohoo group plc,JE00BG6L7297,G6153P109,BG6L729,BOOH.L
Tekcapital PLC,GB00BKXGY798,G8738X102,BKXGY79,TEKT.L
Genuit Group PLC,GB00BKRC5K31,G7179X100,BKRC5K3,GENG.L
Haydale Graphene Industries PLC,GB00BKWQ1135,G43541104,BKWQ113,HAYD.L
Custodian Property Income REIT plc,GB00BJFLFT45,G26043102,BJFLFT4,CREI.L
Eagle Eye Solutions Group PLC,GB00BKF1YD83,G2950A106,BKF1YD8,EYE.L
Safestay PLC,GB00BKT0J702,G77675109,BKT0J70,SSTY.L
NAHL Group PLC,GB00BM7S2W63,G6382F104,BM7S2W6,NAH.L
Rosslyn Data Technologies PLC,GB00BKX5CP01,G7639T103,BKX5CP0,RDTR.L
Bioventix PLC,GB00B4QVDF07,G1285U100,B4QVDF0,BVXP.L
Card Factory PLC,GB00BLY2F708,G1895H101,BLY2F70,CARDC.L
Fireangel Safety Technology Group PLC,GB0030508757,G3522J146,3050875,FA.L
Limitless Earth PLC,GB00BKXP5L71,G5524D100,BKXP5L7,LMEL.L
Shoe Zone PLC,GB00BLTVCF91,G81105101,BLTVCF9,SHOE.L
Tremor International Ltd,IL0011320343,M8T80P105,BM7RZM4,TRMR.L
OSB Group PLC,GB00BLDRH360,G6S36L101,BLDRH36,OSBO.L
Flowtech Fluidpower PLC,GB00BM4NR742,G3601S108,BM4NR74,FLOL.L
Empiric Student Property PLC,GB00BLWDVR75,G30381100,BLWDVR7,ESP.L
Fair Oaks Income Ltd,GG00BRZRXM78,G3247H169,BRZRXM7,FA17.L
FDM Group (Holdings) PLC,GB00BLWDVP51,G3405Y129,BLWDVP5,FDM.L
B&M European Value Retail SA,LU1072616219,L1175H106,BMTRW10,BMEB.L
Volution Group PLC,GB00BN3ZZ526,G93824103,BN3ZZ52,FAN.L
Ergomed PLC,GB00BN7ZCY67,G3R92F103,BN7ZCY6,ERGO.L
On The Beach Group PLC,GB00BYM1K758,G6754C101,BYM1K75,OTB.L
SSP Group PLC,GB00BGBN7C04,G8402N125,BGBN7C0,SSPG.L
SLF Realisation Fund Ltd,GG00BN56JF17,G8T63M100,BN56JF1,SLFR.L
Nostrum Oil & Gas PLC,GB00BQVVS097,G66737118,BQVVS09,NOGN.L
Spire Healthcare Group PLC,GB00BNLPYF73,G83577109,BNLPYF7,SPI.L
Smoove PLC,GB00BNG8T458,G8946Z105,BNG8T45,SMV.L
Blackstone Loan Financing Ltd,JE00BNCB5T53,G13178101,BNCB5T5,BGLF.L
Epwin Group PLC,GB00BNGY4Y86,G30828126,BNGY4Y8,EPWN.L
Savannah Energy PLC,GB00BP41S218,G781AA104,BP41S21,SAVES.L
Equals Group PLC,GB00BLS0XX25,G3298F104,BLS0XX2,EQLS.L
Intelligent Ultrasound Group PLC,GB00BN791Q39,G5952K105,BN791Q3,IUG.L
Heiq PLC,GB00BN2CJ299,G4384V102,BN2CJ29,HEIQ.L
Aquila Services Group PLC,GB00BPYP3Q26,G3807A109,BPYP3Q2,AQSG.L
Softcat PLC,GB00BYZDVK82,G8251T108,BYZDVK8,SCTS.L
Gamma Communications PLC,GB00BQS10J50,G371B3109,BQS10J5,GAMA.L
Fulham Shore PLC,GB00B9F8VG44,G3726G104,B9F8VG4,FULH.L
C4X Discovery Holdings PLC,GB00BQQ2RV18,G21020105,BQQ2RV1,C4XD.L
Ediston Property Investment Company PLC,GB00BNGMZB68,G3R7DZ101,BNGMZB6,EPICE.L
Nanosynth Group PLC,GB00BFX0ZN92,G6391S105,BFX0ZN9,NNNN.L
Mortgage Advice Bureau (Holdings) PLC,GB00BQSBH502,G6319A103,BQSBH50,MAB1.L
Quartix Technologies PLC,GB00BLZH2C83,G7312T107,BLZH2C8,QTX.L
Fevertree Drinks PLC,GB00BRJ9BJ26,G33929103,BRJ9BJ2,FEVR.L
River and Mercantile UK Micro Cap Investment Company Ltd,GG00BNDMJP11,G7550P155,BNDMJP1,RMMC.L
Focusrite PLC,GB00BSBMW716,G3610N108,BSBMW71,TUNE.L
Gfinity PLC,GB00BT9QD572,G3R27G101,BT9QD57,GFIN.L
Axiom European Financial Debt Fund Ltd,GG00BTC2K735,G0743R105,BTC2K73,AXI.L
Mercia Asset Management PLC,GB00BSL71W47,G6S114108,BSL71W4,MERCM.L
Atlantic Lithium Ltd,AU0000237554,Q4972G110,BPWBM76,ALLA.L
Evgen Pharma PLC,GB00BSVYN304,G330AH105,BSVYN30,EVG.L
Indivior PLC,GB00BN4HT335,G4766E116,BN4HT33,INDV.L
Redx Pharma PLC,GB00BSNB6S51,G7456P101,BSNB6S5,REDX.L
Integrated Diagnostics Holdings PLC,JE00BLKGSR75,G4836Q115,BLKGSR7,IDHC.L
Vox Valor Capital Ltd,KYG9507A1094,G9507A109,BMYZ8T9,VOXV.L
HSS Hire Group PLC,GB00BVFD4645,G4R0LD104,BVFD464,HSS.L
SCS Group PLC,GB00BRF0TJ56,G7942M100,BRF0TJ5,SCSS.L
Kinovo PLC,GB00BV9GHQ09,G5275D101,BV9GHQ0,KINO.L
VPC Specialty Lending Investments PLC,GB00BVG6X439,G7099B105,BVG6X43,VSLV.L
Sureserve Group PLC,GB00BSKS1M86,G5S53T104,BSKS1M8,SURS.L
Eurocell PLC,GB00BVV2KN49,G3143F101,BVV2KN4,ECEL.L
Wizz Air Holdings PLC,JE00BN574F90,G96871101,BN574F9,WIZZ.L
Non-Standard Finance PLC,GB00BRJ6JV17,G66137103,BRJ6JV1,NSF.L
DFS Furniture PLC,GB00BTC0LB89,G2848C108,BTC0LB8,DFSD.L
Schroders Capital Global Innovation Trust PLC,GB00BVG1CF25,G7890N100,BVG1CF2,INOV.L
Cindrigo Holdings Ltd,GG00BV0LCK35,G2144H108,BV0LCK3,CINH.L
Revolution Bars Group PLC,GB00BVDPPV41,G7546B104,BVDPPV4,RBG.L
Sequoia Economic Infrastructure Income Fund Ltd,GG00BV54HY67,G8032L101,BV54HY6,SEQI.L
Auto Trader Group PLC,GB00BVYVFW23,G06708104,BVYVFW2,AUTOA.L
Zegona Communications PLC,GB00BVGBY890,G7605F103,BVGBY89,ZEG.L
Chill Brands Group PLC,GB00BWC4X262,G2105G107,BWC4X26,CHLL.L
Windar Photonics PLC,GB00BTFR4F17,G9694R105,BTFR4F1,WPHO.L
Pembroke VCT PLC,GB00BQVC9S79,G6984L111,BQVC9S7,PEMB.L
Miton UK MicroCap Trust PLC,GB00BWFGQ085,G6S69X105,BWFGQ08,MINI.L
Metro Bank Holdings PLC,GB00BMX3W479,G60643106,BMX3W47,MTRO.L
Curtis Banks Group PLC,GB00BW0D4R71,G26013105,BW0D4R7,CBP.L
Katoro Gold PLC,GB00BSNBL022,G676AG103,BSNBL02,KATK.L
Amedeo Air Four Plus Ltd,GG00BNDVLS54,G02605130,BNDVLS5,AA4A.L
KCR Residential REIT PLC,GB00BYWK1Q82,G5221X110,BYWK1Q8,KCR.L
AEW UK REIT PLC,GB00BWD24154,G012AV108,BWD2415,AEWU.L
Chenavari Toro Income Fund Ltd,GG00BWBSDM98,G2086Q116,BWBSDM9,TORO.L
Bigblu Broadband PLC,GB00BD5JMP10,G1262J102,BD5JMP1,BBB.L
Gateley (Holdings) PLC,GB00BXB07J71,G389A9109,BXB07J7,GTLY.L
Phoenix Spree Deutschland Ltd,JE00B248KJ21,G7095W103,BVG2VP8,PSDL.L
Gear4music (Holdings) PLC,GB00BW9PJQ87,G3775D101,BW9PJQ8,G4M.L
Apax Global Alpha Ltd,GG00BWWYMV85,G04039106,BWWYMV8,APAX.L
PureTech Health PLC,GB00BY2Z0H74,G7297M101,BY2Z0H7,PRTC.L
Cairn Homes PLC,IE00BWY4ZF18,G1858L107,BWY4ZF1,CRN.L
Assura PLC,GB00BVGBWW93,G2386T109,BVGBWW9,AGRP.L
Investec Bank PLC,XS1246232604,,BZ0CSG2,IM88.L
Orchard Funding Group PLC,GB00BYZFM569,G676AH101,BYZFM56,ORCH.L
Kainos Group PLC,GB00BZ0D6727,G5209U104,BZ0D672,KNOS.L
Ossiam Shiller Barclays CAPE US Sector Val TR 1CU,LU1079841513,L7298H329,BYMWWF0,OSCAPU.L
Menhaden Resource Efficiency PLC,GB00BZ0XWD04,G59462104,BZ0XWD0,MHN.L
Everest Global PLC,GB00BKBS0353,G0446P117,BKBS035,EVST.L
GYM Group PLC,GB00BZBX0P70,G42114101,BZBX0P7,GYM.L
Harvest Minerals Ltd,AU000XINEAB4,Q45238138,BD82HN0,HMI.L
Secured Income Fund PLC,GB00BYMK5S87,G3924P104,BYMK5S8,SSIF.L
Faron Pharmaceuticals Oy,FI4000153309,X2382W107,BYMKYR0,FARN.L
Alternative Liquidity Fund Ltd,GG00BYRGPD65,G0R6AR100,BYRGPD6,ALFAL.L
Ibstock PLC,GB00BYXJC278,G46956135,BYXJC27,IBST.L
GCP Asset Backed Income Fund Ltd,JE00BYXX8B08,G389AC136,BYXX8B0,GABIG.L
Upland Resources Ltd,JE00BJXN4P16,G9301Z102,BJXN4P1,UPL.L
Hostelworld Group PLC,GB00BYYN4225,G4611U109,BYYN422,HSW.L
Regional REIT Ltd,GG00BYV2ZQ34,G7418M105,BYV2ZQ3,RGLR.L
Hemogenyx Pharmaceuticals PLC,GB00BYX3WZ24,G4R59S104,BYX3WZ2,HEMO.L
United Oil & Gas PLC,GB00BYX0MB92,G9350E109,BYX0MB9,UOGU.L
Sealand Capital Galaxy Ltd,KYG7948E1026,G7948E102,BYM2LM0,SCGL.L
Melrose Industries PLC,GB00BNGDN821,G5973J210,BNGDN82,MRON.L
Bluebird Merchant Ventures Ltd,VGG118701058,G11870105,BYN4G53,BMV.L
Schroder European Real Estate Investment Trust PLC,GB00BY7R8K77,G7856Y108,BY7R8K7,SERE.L
Molten Ventures PLC,GB00BY7QYJ50,G28295106,BY7QYJ5,GROW.L
European Metals Holdings Ltd,VGG3191T1021,G3191T102,BD03B84,EMHE.L
CC Japan Income and Growth Trust PLC,GB00BYSRMH16,G1986V100,BYSRMH1,CCJI.L
Virgin Money UK PLC,GB00BD6GN030,G9413V106,BD6GN03,VMUK.L
Angus Energy PLC,GB00BYWKC989,G03895102,BYWKC98,ANGSA.L
Nuformix PLC,GB00BYW79Y38,G6682B100,BYW79Y3,NFXN.L
Pollen Street PLC,GB00BYZV3G25,G4582G105,BYZV3G2,POLNP.L
Ascential PLC,GB00BYM8GJ06,G0519G101,BYM8GJ0,ASCL.L
daVictus plc,JE00BYY5RQ34,G2651B106,BYY5RQ3,DVTD.L
CMC Markets PLC,GB00B14SKR37,G22327103,B14SKR3,CMCX.L
Shield Therapeutics PLC,GB00BYV81293,G8123P102,BYV8129,STXS.L
Yu Group PLC,GB00BYQDPD80,G98767109,BYQDPD8,YU.L
Cerillion PLC,GB00BYYX6C66,G2028X104,BYYX6C6,CER.L
Calculus VCT PLC,GB00BYQPF348,G2167A105,BYQPF34,CLCCA.L
Watkin Jones PLC,GB00BD6RF223,G94793109,BD6RF22,WJG.L
Marlowe PLC,GB00BD8SLV43,G5840S104,BD8SLV4,MRLM.L
Hotel Chocolat Group PLC,GB00BYZC3B04,G4611Y101,BYZC3B0,HOTC.L
Forterra PLC,GB00BYYW3C20,G3638E106,BYYW3C2,FORT.L
Urban Logistics Reit PLC,GB00BYV8MN78,G6853M109,BYV8MN7,SHED.L
Osirium Technologies PLC,GB00BZ58DH10,G6782P108,BZ58DH1,OSIO.L
Oncimmune Holdings PLC,GB00BYQ94H38,G6750T108,BYQ94H3,ONCON.L
Midwich Group PLC,GB00BYSXWW41,G6113M105,BYSXWW4,MIDWM.L
Time Out Group PLC,GB00BYYV0629,G8902N104,BYYV062,TMOT.L
Toople PLC,GB00BZ8TP087,G8917F104,BZ8TP08,TOOP.L
Motorpoint Group PLC,GB00BD0SFR60,G632A5100,BD0SFR6,MOTR.L
Directa Plus PLC,GB00BSM98843,G2768F107,BSM9884,DCTA.L
SDX Energy PLC,GB00BJ5JNL69,G7943N107,BJ5JNL6,SDX.L
Accrol Group Holdings PLC,GB00BZ6VT592,G00704109,BZ6VT59,ACRL.L
Comptoir Group PLC,GB00BYT1L205,G233BM109,BYT1L20,COM.L
XP Factory Plc,GB00BDB79J29,G2816A100,BDB79J2,XPF.L
Hollywood Bowl Group PLC,GB00BD0NVK62,G45655100,BD0NVK6,BOWL.L
Caracal Gold PLC,GB00BYZC5R04,G6S01X106,BYZC5R0,GCAT.L
Vietnam Enterprise Investments Limited,KYG9361H1092,G9361H109,BD9X204,VEILV.L
Iconic Labs PLC,GB00BD060S65,G4711X102,BD060S6,ICONI.L
Franchise Brands PLC,GB00BD6P7Y24,G3656B109,BD6P7Y2,FRAN.L
TBC Bank Group PLC,GB00BYT18307,G8705J102,BYT1830,TBCG.L
Autins Group PLC,GB00BD37ZH08,G06609104,BD37ZH0,AUTGA.L
APQ Global Ltd,GG00BZ6VP173,G0415V103,BZ6VP17,APQ.L
LoopUp Group PLC,GB00BYQP6S60,G56421103,BYQP6S6,LOOP.L
Fragrant Prosperity Holdings Ltd,VGG368811037,G36881103,BD2C6Q2,FPP.L
Ecofin Global Utilities and Infrastructure Trust PLC,GB00BD3V4641,G2925T107,BD3V464,EGL.L
Premier Miton Group PLC,GB00BZB2KR63,G7220Z104,BZB2KR6,PMIP.L
ConvaTec Group PLC,GB00BD3VFW73,G23969101,BD3VFW7,CTEC.L
Mila Resources PLC,GB00BD4FCK53,G6151H109,BD4FCK5,MILA.L
Boston International Holdings PLC,GB00BD70S874,G12619105,BD70S87,BIH.L
Luceco PLC,GB00BZC0LP49,G5695Q104,BZC0LP4,LUCEL.L
Van Elle Holdings PLC,GB00BYX4TP46,G931BZ109,BYX4TP4,VANL.L
